"","sale.date","sales.rep","rep.sex","rep.region","rep.feedback","wine","type","cost","unit.price","units.sold","recipt","expenses","year"
"4218",2011-05-03,"Karry Noell",0,"East",6,"Shiraz","red",6.051,20.17,13,262.21,10.6995,2011
"478",2011-05-03,"Lavera Mccallie",0,"South",5,"Pinot Gris","white",3.741,12.35,13,160.55,6.023,2011
"3134",2011-05-03,"Lavera Mccallie",0,"South",6,"Riesling","white",2.097,6.87,23,158.01,5.4625,2011
"9595",2011-05-03,"Lavera Mccallie",0,"South",6,"Sauvignon Blanc","white",2.697,8.87,21,186.27,5.2725,2011
"7925",2011-05-03,"Bianca Suchan",0,"West",5,"Merlot","red",2.229,7.43,10,74.3,4.0086,2011
"1976",2011-05-04,"Lolita Wass",0,"Central",5,"Chardonnay","white",3.15,10.07,23,231.61,6.03,2011
"6919",2011-05-04,"Nilda Hypolite",0,"Central",6,"Chardonnay","white",3.15,10.07,7,70.49,4.96,2011
"7943",2011-05-04,"Aiko Hamsher",0,"East",5,"Cabernet Sauvignon","red",3.624,12.08,19,229.52,7.4445,2011
"4614",2011-05-04,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,9,94.5,5.4705,2011
"2772",2011-05-04,"Karry Noell",0,"East",7,"Merlot","red",2.229,7.43,7,52.01,4.0005,2011
"3998",2011-05-04,"Karry Noell",0,"East",6,"Merlot","red",2.229,7.43,32,237.76,6.72,2011
"3504",2011-05-04,"Karry Noell",0,"East",6,"Shiraz","red",6.051,20.17,15,302.55,10.689,2011
"9183",2011-05-04,"Kym Velarde",0,"East",7,"Cabernet Sauvignon","red",3.624,12.08,8,96.64,6.3735,2011
"3817",2011-05-04,"Lavera Mccallie",0,"South",5,"Merlot","red",2.229,7.31,10,73.1,3.9995,2011
"1159",2011-05-04,"Lavera Mccallie",0,"South",4,"Pinot Gris","white",3.741,12.35,9,111.15,6.2415,2011
"3078",2011-05-04,"Tori Hastie",0,"South",7,"Chardonnay","white",3.15,10.38,11,114.18,4.883,2011
"1716",2011-05-04,"Deloras Mcfetridge",0,"West",7,"Chardonnay","white",3.15,10.5,10,105,5.661,2011
"7117",2011-05-05,"Aiko Hamsher",0,"East",6,"Pinot Gris","white",3.741,12.47,18,224.46,7.413,2011
"8560",2011-05-05,"Ben Gerry",1,"East",5,"Cabernet Sauvignon","red",3.624,12.08,21,253.68,8.0955,2011
"9019",2011-05-05,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,18,189,7.245,2011
"3238",2011-05-05,"Deloras Mcfetridge",0,"West",6,"Merlot","red",2.229,7.43,23,170.89,5.1918,2011
"9154",2011-05-06,"Dannette Saltsman",0,"Central",7,"Pinot Gris","white",3.741,12.04,8,96.32,6.09,2011
"9857",2011-05-06,"Virgilio Mcelligott",1,"Central",8,"Cabernet Sauvignon","red",3.624,11.65,11,128.15,6,2011
"7098",2011-05-06,"Virgilio Mcelligott",1,"Central",6,"Riesling","white",2.097,6.56,7,45.92,3.33,2011
"7762",2011-05-06,"Ben Gerry",1,"East",6,"Merlot","red",2.229,7.43,16,118.88,4.515,2011
"6182",2011-05-06,"Ben Gerry",1,"East",6,"Sauvignon Blanc","white",2.697,8.99,22,197.78,5.607,2011
"7667",2011-05-06,"Karry Noell",0,"East",7,"Merlot","red",2.229,7.43,9,66.87,4.536,2011
"7250",2011-05-06,"Clement Arias",1,"North",7,"Merlot","red",2.229,8.38,17,142.46,5.25,2011
"3000",2011-05-06,"Shameka Mertes",0,"North",5,"Pinot Gris","white",3.741,13.42,14,187.88,7.05,2011
"6643",2011-05-06,"Jewel Copas",1,"South",7,"Merlot","red",2.229,7.31,11,80.41,4.674,2011
"3803",2011-05-06,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,15,111.45,4.08,2011
"7449",2011-05-07,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,17,178.5,5.943,2011
"7332",2011-05-07,"Eura Begay",0,"North",7,"Chardonnay","white",3.15,11.45,11,125.95,5,2011
"5021",2011-05-07,"Tori Hastie",0,"South",5,"Chardonnay","white",3.15,10.38,11,114.18,5.928,2011
"8979",2011-05-07,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,10,73.1,3.572,2011
"1055",2011-05-07,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,27,200.61,6.4362,2011
"6784",2011-05-08,"Yolando Galicia",0,"North",8,"Merlot","red",2.229,8.38,18,150.84,5.41,2011
"9406",2011-05-09,"Virgilio Mcelligott",1,"Central",5,"Merlot","red",2.229,7,8,56,3.84,2011
"5090",2011-05-09,"Clement Arias",1,"North",5,"Merlot","red",2.229,8.38,17,142.46,4.46,2011
"7793",2011-05-09,"Jewel Copas",1,"South",7,"Merlot","red",2.229,7.31,14,102.34,4.2655,2011
"2755",2011-05-09,"Lesia Belt",0,"West",6,"Riesling","white",2.097,6.99,13,90.87,4.3044,2011
"3616",2011-05-10,"Karry Noell",0,"East",6,"Chardonnay","white",3.15,10.5,17,178.5,6.4575,2011
"4269",2011-05-10,"Kym Velarde",0,"East",6,"Pinot Gris","white",3.741,12.47,21,261.87,6.825,2011
"1308",2011-05-10,"Clement Arias",1,"North",6,"Merlot","red",2.229,8.38,6,50.28,3.54,2011
"7472",2011-05-10,"Lesia Belt",0,"West",5,"Merlot","red",2.229,7.43,14,104.02,4.2636,2011
"7757",2011-05-11,"Aiko Hamsher",0,"East",5,"Cabernet Sauvignon","red",3.624,12.08,16,193.28,6.615,2011
"9823",2011-05-11,"Aiko Hamsher",0,"East",5,"Pinot Gris","white",3.741,12.47,20,249.4,8.211,2011
"899",2011-05-11,"Aiko Hamsher",0,"East",8,"Sauvignon Blanc","white",2.697,8.99,23,206.77,6.3105,2011
"9914",2011-05-11,"Shameka Mertes",0,"North",6,"Shiraz","red",6.051,21.12,8,168.96,10.57,2011
"1324",2011-05-11,"Jewel Copas",1,"South",4,"Sauvignon Blanc","white",2.697,8.87,30,266.1,5.8805,2011
"9038",2011-05-12,"Lolita Wass",0,"Central",7,"Sauvignon Blanc","white",2.697,8.56,6,51.36,4.17,2011
"214",2011-05-12,"Clement Arias",1,"North",5,"Shiraz","red",6.051,21.12,20,422.4,10.73,2011
"3865",2011-05-12,"Shameka Mertes",0,"North",4,"Merlot","red",2.229,8.38,26,217.88,5.39,2011
"8025",2011-05-12,"Yolando Galicia",0,"North",3,"Pinot Gris","white",3.741,13.42,12,161.04,6.67,2011
"4990",2011-05-12,"Jewel Copas",1,"South",6,"Merlot","red",2.229,7.31,31,226.61,5.111,2011
"4946",2011-05-12,"Jewel Copas",1,"South",6,"Pinot Gris","white",3.741,12.35,21,259.35,5.7855,2011
"506",2011-05-12,"Lavera Mccallie",0,"South",6,"Pinot Gris","white",3.741,12.35,15,185.25,7.391,2011
"6960",2011-05-12,"Tori Hastie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,17,203.32,6.4315,2011
"9688",2011-05-12,"Bianca Suchan",0,"West",6,"Chardonnay","white",3.15,10.5,38,399,8.0172,2011
"5497",2011-05-12,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,16,193.28,7.038,2011
"9396",2011-05-12,"Deloras Mcfetridge",0,"West",7,"Merlot","red",2.229,7.43,15,111.45,4.233,2011
"1628",2011-05-12,"Lesia Belt",0,"West",5,"Sauvignon Blanc","white",2.697,8.99,8,71.92,4.0902,2011
"3665",2011-05-13,"Aiko Hamsher",0,"East",5,"Merlot","red",2.229,7.43,16,118.88,4.8825,2011
"1666",2011-05-13,"Karry Noell",0,"East",5,"Shiraz","red",6.051,20.17,21,423.57,10.962,2011
"1640",2011-05-13,"Yolando Galicia",0,"North",6,"Merlot","red",2.229,8.38,18,150.84,5.39,2011
"1451",2011-05-13,"Lesia Belt",0,"West",8,"Riesling","white",2.097,6.99,13,90.87,4.5798,2011
"3411",2011-05-14,"Aiko Hamsher",0,"East",6,"Riesling","white",2.097,6.99,22,153.78,4.8825,2011
"6834",2011-05-14,"Ben Gerry",1,"East",5,"Pinot Gris","white",3.741,12.47,7,87.29,5.649,2011
"7818",2011-05-14,"Clement Arias",1,"North",5,"Chardonnay","white",3.15,11.45,24,274.8,6.71,2011
"2757",2011-05-14,"Mamie Fullington",0,"South",7,"Cabernet Sauvignon","red",3.624,11.96,26,310.96,6.9445,2011
"7950",2011-05-14,"Mamie Fullington",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,18,215.28,6.156,2011
"296",2011-05-14,"Tori Hastie",0,"South",6,"Cabernet Sauvignon","red",3.624,11.96,27,322.92,6.8305,2011
"317",2011-05-14,"Vicki Kilkenny",0,"West",6,"Pinot Gris","white",3.741,12.47,9,112.23,6.6402,2011
"9432",2011-05-15,"Ben Gerry",1,"East",6,"Cabernet Sauvignon","red",3.624,12.08,15,181.2,7.098,2011
"5589",2011-05-15,"Lavera Mccallie",0,"South",8,"Chardonnay","white",3.15,10.38,28,290.64,7.467,2011
"4510",2011-05-15,"Deloras Mcfetridge",0,"West",5,"Merlot","red",2.229,7.43,20,148.6,5.1306,2011
"5350",2011-05-16,"Lolita Wass",0,"Central",5,"Shiraz","red",6.051,19.74,24,473.76,10.04,2011
"8088",2011-05-16,"Nilda Hypolite",0,"Central",6,"Pinot Gris","white",3.741,12.04,22,264.88,6.17,2011
"7816",2011-05-16,"Virgilio Mcelligott",1,"Central",7,"Cabernet Sauvignon","red",3.624,11.65,12,139.8,6.83,2011
"9471",2011-05-16,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,17,126.31,5.5335,2011
"5263",2011-05-16,"Lavera Mccallie",0,"South",7,"Pinot Gris","white",3.741,12.35,6,74.1,5.985,2011
"3277",2011-05-16,"Vicki Kilkenny",0,"West",6,"Merlot","red",2.229,7.43,18,133.74,4.2942,2011
"345",2011-05-16,"Vicki Kilkenny",0,"West",6,"Pinot Gris","white",3.741,12.47,13,162.11,5.967,2011
"6477",2011-05-18,"Lolita Wass",0,"Central",6,"Cabernet Sauvignon","red",3.624,11.65,9,104.85,5.8,2011
"3471",2011-05-18,"Eura Begay",0,"North",6,"Riesling","white",2.097,7.94,17,134.98,5.21,2011
"5251",2011-05-18,"Yolando Galicia",0,"North",5,"Pinot Gris","white",3.741,13.42,19,254.98,8.08,2011
"3181",2011-05-18,"Bianca Suchan",0,"West",7,"Pinot Gris","white",3.741,12.47,14,174.58,6.936,2011
"968",2011-05-19,"Nilda Hypolite",0,"Central",4,"Merlot","red",2.229,7,12,84,3.72,2011
"7559",2011-05-19,"Eura Begay",0,"North",5,"Pinot Gris","white",3.741,13.42,12,161.04,7.06,2011
"2750",2011-05-19,"Jewel Copas",1,"South",8,"Chardonnay","white",3.15,10.38,20,207.6,5.928,2011
"6185",2011-05-20,"Dannette Saltsman",0,"Central",7,"Riesling","white",2.097,6.56,15,98.4,4.16,2011
"4476",2011-05-20,"Aiko Hamsher",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,13,116.87,5.7225,2011
"4522",2011-05-20,"Clement Arias",1,"North",5,"Merlot","red",2.229,8.38,7,58.66,3.78,2011
"8495",2011-05-20,"Eura Begay",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,17,168.98,5.36,2011
"1755",2011-05-20,"Jewel Copas",1,"South",6,"Merlot","red",2.229,7.31,8,58.48,3.724,2011
"8767",2011-05-20,"Mamie Fullington",0,"South",4,"Merlot","red",2.229,7.31,8,58.48,3.8285,2011
"1298",2011-05-21,"Kym Velarde",0,"East",5,"Chardonnay","white",3.15,10.5,11,115.5,6.027,2011
"6668",2011-05-21,"Shameka Mertes",0,"North",8,"Chardonnay","white",3.15,11.45,16,183.2,6.09,2011
"9718",2011-05-21,"Yolando Galicia",0,"North",5,"Riesling","white",2.097,7.94,16,127.04,4.3,2011
"3730",2011-05-21,"Jewel Copas",1,"South",7,"Riesling","white",2.097,6.87,10,68.7,3.8095,2011
"1782",2011-05-21,"Deloras Mcfetridge",0,"West",6,"Merlot","red",2.229,7.43,17,126.31,4.6614,2011
"349",2011-05-22,"Lesia Belt",0,"West",4,"Merlot","red",2.229,7.43,12,89.16,3.8658,2011
"8472",2011-05-23,"Dannette Saltsman",0,"Central",5,"Chardonnay","white",3.15,10.07,39,392.73,7.62,2011
"9170",2011-05-23,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,9,66.87,4.053,2011
"6884",2011-05-23,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,8,96.64,5.712,2011
"6614",2011-05-23,"Deloras Mcfetridge",0,"West",7,"Merlot","red",2.229,7.43,16,118.88,5.0796,2011
"4273",2011-05-24,"Shameka Mertes",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,13,129.22,4.89,2011
"6883",2011-05-24,"Yolando Galicia",0,"North",5,"Merlot","red",2.229,8.38,21,175.98,5.48,2011
"3064",2011-05-24,"Mamie Fullington",0,"South",7,"Merlot","red",2.229,7.31,20,146.2,4.712,2011
"1207",2011-05-24,"Bianca Suchan",0,"West",4,"Cabernet Sauvignon","red",3.624,12.08,14,169.12,6.834,2011
"1051",2011-05-25,"Lolita Wass",0,"Central",5,"Merlot","red",2.229,7,5,35,3.33,2011
"7791",2011-05-25,"Virgilio Mcelligott",1,"Central",7,"Merlot","red",2.229,7,10,70,3.89,2011
"5393",2011-05-25,"Virgilio Mcelligott",1,"Central",9,"Riesling","white",2.097,6.56,13,85.28,3.93,2011
"4301",2011-05-25,"Jewel Copas",1,"South",6,"Sauvignon Blanc","white",2.697,8.87,11,97.57,4.712,2011
"521",2011-05-26,"Virgilio Mcelligott",1,"Central",7,"Cabernet Sauvignon","red",3.624,11.65,10,116.5,5.48,2011
"3249",2011-05-26,"Virgilio Mcelligott",1,"Central",6,"Pinot Gris","white",3.741,12.04,9,108.36,5.99,2011
"9848",2011-05-26,"Aiko Hamsher",0,"East",6,"Chardonnay","white",3.15,10.5,7,73.5,4.536,2011
"563",2011-05-26,"Karry Noell",0,"East",6,"Cabernet Sauvignon","red",3.624,12.08,16,193.28,6.6045,2011
"151",2011-05-26,"Kym Velarde",0,"East",5,"Pinot Gris","white",3.741,12.47,17,211.99,7.308,2011
"9671",2011-05-26,"Clement Arias",1,"North",6,"Pinot Gris","white",3.741,13.42,7,93.94,6.05,2011
"3458",2011-05-26,"Deloras Mcfetridge",0,"West",4,"Chardonnay","white",3.15,10.5,23,241.5,6.5586,2011
"7056",2011-05-27,"Virgilio Mcelligott",1,"Central",4,"Riesling","white",2.097,6.56,10,65.6,4.04,2011
"2890",2011-05-27,"Shameka Mertes",0,"North",5,"Merlot","red",2.229,8.38,10,83.8,4.44,2011
"4354",2011-05-27,"Tori Hastie",0,"South",6,"Chardonnay","white",3.15,10.38,23,238.74,6.384,2011
"2086",2011-05-27,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,21,153.51,4.6455,2011
"8285",2011-05-27,"Tori Hastie",0,"South",7,"Merlot","red",2.229,7.31,7,51.17,3.6195,2011
"437",2011-05-27,"Bianca Suchan",0,"West",6,"Riesling","white",2.097,6.99,11,76.89,3.9678,2011
"1025",2011-05-28,"Dannette Saltsman",0,"Central",6,"Merlot","red",2.229,7,10,70,4.12,2011
"305",2011-05-28,"Virgilio Mcelligott",1,"Central",5,"Sauvignon Blanc","white",2.697,8.56,7,59.92,4.14,2011
"9193",2011-05-28,"Aiko Hamsher",0,"East",6,"Riesling","white",2.097,6.99,3,20.97,3.423,2011
"3310",2011-05-28,"Ben Gerry",1,"East",4,"Chardonnay","white",3.15,10.5,12,126,6.2475,2011
"354",2011-05-28,"Karry Noell",0,"East",5,"Chardonnay","white",3.15,10.5,16,168,6.762,2011
"3240",2011-05-28,"Karry Noell",0,"East",6,"Riesling","white",2.097,6.99,8,55.92,3.654,2011
"2913",2011-05-28,"Kym Velarde",0,"East",7,"Cabernet Sauvignon","red",3.624,12.08,22,265.76,8.5155,2011
"3124",2011-05-28,"Kym Velarde",0,"East",6,"Chardonnay","white",3.15,10.5,20,210,5.922,2011
"4302",2011-05-28,"Eura Begay",0,"North",5,"Merlot","red",2.229,8.38,13,108.94,4.29,2011
"6310",2011-05-28,"Jewel Copas",1,"South",5,"Merlot","red",2.229,7.31,21,153.51,5.5955,2011
"7952",2011-05-28,"Lesia Belt",0,"West",6,"Shiraz","red",6.051,20.17,28,564.76,12.036,2011
"926",2011-05-29,"Dannette Saltsman",0,"Central",6,"Pinot Gris","white",3.741,12.04,12,144.48,6.04,2011
"4207",2011-05-29,"Aiko Hamsher",0,"East",7,"Chardonnay","white",3.15,10.5,23,241.5,6.468,2011
"8636",2011-05-29,"Clement Arias",1,"North",6,"Sauvignon Blanc","white",2.697,9.94,28,278.32,6.47,2011
"3600",2011-05-29,"Jewel Copas",1,"South",6,"Cabernet Sauvignon","red",3.624,11.96,18,215.28,7.011,2011
"7706",2011-05-29,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,11,81.73,4.4268,2011
"8870",2011-05-29,"Lesia Belt",0,"West",7,"Pinot Gris","white",3.741,12.47,8,99.76,6.5382,2011
"2664",2011-05-30,"Dannette Saltsman",0,"Central",5,"Sauvignon Blanc","white",2.697,8.56,3,25.68,4.53,2011
"9827",2011-05-30,"Aiko Hamsher",0,"East",6,"Pinot Gris","white",3.741,12.47,19,236.93,7.1715,2011
"1526",2011-05-30,"Karry Noell",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,21,188.79,5.67,2011
"5645",2011-05-30,"Clement Arias",1,"North",6,"Shiraz","red",6.051,21.12,8,168.96,8.92,2011
"2952",2011-05-30,"Mamie Fullington",0,"South",8,"Cabernet Sauvignon","red",3.624,11.96,15,179.4,5.833,2011
"426",2011-05-31,"Nilda Hypolite",0,"Central",5,"Chardonnay","white",3.15,10.07,10,100.7,5.24,2011
"9717",2011-05-31,"Kym Velarde",0,"East",7,"Pinot Gris","white",3.741,12.47,17,211.99,7.749,2011
"154",2011-05-31,"Yolando Galicia",0,"North",7,"Cabernet Sauvignon","red",3.624,13.03,12,156.36,6.86,2011
"5805",2011-06-01,"Dannette Saltsman",0,"Central",5,"Pinot Gris","white",3.741,12.04,16,192.64,7.12,2011
"3986",2011-06-01,"Nilda Hypolite",0,"Central",5,"Cabernet Sauvignon","red",3.624,11.65,11,128.15,5.82,2011
"8974",2011-06-01,"Karry Noell",0,"East",8,"Chardonnay","white",3.15,10.5,26,273,7.1925,2011
"7116",2011-06-01,"Eura Begay",0,"North",6,"Chardonnay","white",3.15,11.45,16,183.2,6.21,2011
"2448",2011-06-01,"Lavera Mccallie",0,"South",6,"Chardonnay","white",3.15,10.38,7,72.66,5.3105,2011
"4832",2011-06-01,"Bianca Suchan",0,"West",6,"Shiraz","red",6.051,20.17,10,201.7,9.9348,2011
"9955",2011-06-01,"Deloras Mcfetridge",0,"West",5,"Merlot","red",2.229,7.43,23,170.89,5.7936,2011
"9824",2011-06-02,"Shameka Mertes",0,"North",5,"Merlot","red",2.229,8.38,8,67.04,3.64,2011
"7730",2011-06-02,"Yolando Galicia",0,"North",5,"Merlot","red",2.229,8.38,17,142.46,4.65,2011
"2450",2011-06-03,"Ben Gerry",1,"East",6,"Cabernet Sauvignon","red",3.624,12.08,23,277.84,8.0325,2011
"7440",2011-06-03,"Karry Noell",0,"East",5,"Chardonnay","white",3.15,10.5,18,189,6.6675,2011
"6321",2011-06-03,"Kym Velarde",0,"East",7,"Pinot Gris","white",3.741,12.47,17,211.99,7.1925,2011
"4783",2011-06-03,"Lavera Mccallie",0,"South",6,"Sauvignon Blanc","white",2.697,8.87,5,44.35,4.7975,2011
"1630",2011-06-03,"Bianca Suchan",0,"West",6,"Merlot","red",2.229,7.43,16,118.88,4.9878,2011
"7533",2011-06-03,"Deloras Mcfetridge",0,"West",6,"Merlot","red",2.229,7.43,5,37.15,3.8658,2011
"9990",2011-06-03,"Deloras Mcfetridge",0,"West",5,"Shiraz","red",6.051,20.17,11,221.87,9.7206,2011
"997",2011-06-03,"Lesia Belt",0,"West",4,"Pinot Gris","white",3.741,12.47,21,261.87,8.1498,2011
"7318",2011-06-03,"Vicki Kilkenny",0,"West",6,"Chardonnay","white",3.15,10.5,11,115.5,6.4464,2011
"2104",2011-06-03,"Vicki Kilkenny",0,"West",6,"Riesling","white",2.097,6.99,27,188.73,4.692,2011
"2611",2011-06-04,"Dannette Saltsman",0,"Central",7,"Riesling","white",2.097,6.56,18,118.08,4.23,2011
"374",2011-06-04,"Virgilio Mcelligott",1,"Central",5,"Merlot","red",2.229,7,9,63,4.1,2011
"8371",2011-06-04,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,16,118.88,4.872,2011
"7907",2011-06-04,"Clement Arias",1,"North",7,"Pinot Gris","white",3.741,13.42,13,174.46,7.56,2011
"3517",2011-06-04,"Eura Begay",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,20,198.8,6.19,2011
"135",2011-06-04,"Shameka Mertes",0,"North",6,"Shiraz","red",6.051,21.12,20,422.4,11.11,2011
"2377",2011-06-04,"Mamie Fullington",0,"South",5,"Riesling","white",2.097,6.87,16,109.92,4.18,2011
"4951",2011-06-04,"Deloras Mcfetridge",0,"West",6,"Cabernet Sauvignon","red",3.624,12.08,11,132.88,5.712,2011
"5196",2011-06-04,"Lesia Belt",0,"West",4,"Chardonnay","white",3.15,10.5,13,136.5,6.426,2011
"5872",2011-06-05,"Dannette Saltsman",0,"Central",7,"Cabernet Sauvignon","red",3.624,11.65,8,93.2,7.21,2011
"6294",2011-06-05,"Virgilio Mcelligott",1,"Central",5,"Chardonnay","white",3.15,10.07,13,130.91,6.02,2011
"2703",2011-06-05,"Shameka Mertes",0,"North",7,"Pinot Gris","white",3.741,13.42,14,187.88,7.18,2011
"8143",2011-06-06,"Dannette Saltsman",0,"Central",8,"Cabernet Sauvignon","red",3.624,11.65,21,244.65,7.17,2011
"9081",2011-06-06,"Aiko Hamsher",0,"East",5,"Sauvignon Blanc","white",2.697,8.99,20,179.8,5.985,2011
"1480",2011-06-06,"Ben Gerry",1,"East",7,"Merlot","red",2.229,7.43,35,260.05,5.733,2011
"7213",2011-06-06,"Yolando Galicia",0,"North",6,"Shiraz","red",6.051,21.12,11,232.32,9.8,2011
"1468",2011-06-06,"Mamie Fullington",0,"South",7,"Pinot Gris","white",3.741,12.35,4,49.4,6.0895,2011
"8776",2011-06-06,"Mamie Fullington",0,"South",5,"Pinot Gris","white",3.741,12.35,32,395.2,6.954,2011
"7771",2011-06-06,"Deloras Mcfetridge",0,"West",8,"Merlot","red",2.229,7.43,9,66.87,4.6308,2011
"7482",2011-06-06,"Vicki Kilkenny",0,"West",5,"Shiraz","red",6.051,20.17,23,463.91,11.7606,2011
"7017",2011-06-07,"Nilda Hypolite",0,"Central",4,"Riesling","white",2.097,6.56,8,52.48,3.89,2011
"5068",2011-06-07,"Aiko Hamsher",0,"East",5,"Riesling","white",2.097,6.99,12,83.88,4.284,2011
"8204",2011-06-07,"Jewel Copas",1,"South",6,"Pinot Gris","white",3.741,12.35,10,123.5,6.08,2011
"2781",2011-06-07,"Deloras Mcfetridge",0,"West",7,"Merlot","red",2.229,7.43,16,118.88,4.7532,2011
"1435",2011-06-07,"Lesia Belt",0,"West",5,"Merlot","red",2.229,7.43,14,104.02,4.5594,2011
"7194",2011-06-08,"Virgilio Mcelligott",1,"Central",5,"Pinot Gris","white",3.741,12.04,5,60.2,5.66,2011
"4599",2011-06-08,"Kym Velarde",0,"East",4,"Sauvignon Blanc","white",2.697,8.99,7,62.93,4.9455,2011
"9977",2011-06-08,"Shameka Mertes",0,"North",6,"Sauvignon Blanc","white",2.697,9.94,8,79.52,5.78,2011
"9323",2011-06-08,"Jewel Copas",1,"South",6,"Chardonnay","white",3.15,10.38,10,103.8,4.788,2011
"1098",2011-06-08,"Tori Hastie",0,"South",5,"Merlot","red",2.229,7.31,9,65.79,3.8855,2011
"4470",2011-06-08,"Deloras Mcfetridge",0,"West",7,"Pinot Gris","white",3.741,12.47,18,224.46,8.1804,2011
"6741",2011-06-08,"Lesia Belt",0,"West",8,"Cabernet Sauvignon","red",3.624,12.08,22,265.76,8.2314,2011
"9608",2011-06-09,"Shameka Mertes",0,"North",7,"Riesling","white",2.097,7.94,15,119.1,4.66,2011
"9650",2011-06-10,"Dannette Saltsman",0,"Central",7,"Sauvignon Blanc","white",2.697,8.56,40,342.4,6.28,2011
"5921",2011-06-10,"Lolita Wass",0,"Central",8,"Shiraz","red",6.051,19.74,17,335.58,11.05,2011
"8365",2011-06-10,"Aiko Hamsher",0,"East",7,"Sauvignon Blanc","white",2.697,8.99,7,62.93,4.2735,2011
"8083",2011-06-10,"Clement Arias",1,"North",7,"Riesling","white",2.097,7.94,41,325.54,6.74,2011
"8440",2011-06-10,"Shameka Mertes",0,"North",7,"Cabernet Sauvignon","red",3.624,13.03,7,91.21,7.19,2011
"3163",2011-06-11,"Aiko Hamsher",0,"East",7,"Riesling","white",2.097,6.99,14,97.86,4.326,2011
"8539",2011-06-11,"Karry Noell",0,"East",8,"Pinot Gris","white",3.741,12.47,31,386.57,7.6755,2011
"9676",2011-06-11,"Jewel Copas",1,"South",7,"Cabernet Sauvignon","red",3.624,11.96,20,239.2,7.049,2011
"1360",2011-06-11,"Deloras Mcfetridge",0,"West",7,"Riesling","white",2.097,6.99,14,97.86,4.59,2011
"8303",2011-06-12,"Virgilio Mcelligott",1,"Central",5,"Pinot Gris","white",3.741,12.04,15,180.6,6.81,2011
"1821",2011-06-12,"Tori Hastie",0,"South",6,"Merlot","red",2.229,7.31,14,102.34,3.743,2011
"7416",2011-06-13,"Ben Gerry",1,"East",6,"Pinot Gris","white",3.741,12.47,16,199.52,7.0245,2011
"350",2011-06-13,"Karry Noell",0,"East",5,"Chardonnay","white",3.15,10.5,10,105,5.943,2011
"8843",2011-06-13,"Kym Velarde",0,"East",6,"Chardonnay","white",3.15,10.5,17,178.5,6.972,2011
"8042",2011-06-13,"Clement Arias",1,"North",5,"Chardonnay","white",3.15,11.45,19,217.55,6.02,2011
"5213",2011-06-13,"Jewel Copas",1,"South",8,"Chardonnay","white",3.15,10.38,10,103.8,5.7665,2011
"6538",2011-06-13,"Tori Hastie",0,"South",4,"Pinot Gris","white",3.741,12.35,19,234.65,6.764,2011
"4685",2011-06-13,"Lesia Belt",0,"West",6,"Chardonnay","white",3.15,10.5,14,147,6.018,2011
"4641",2011-06-14,"Dannette Saltsman",0,"Central",7,"Chardonnay","white",3.15,10.07,17,171.19,6.95,2011
"6212",2011-06-14,"Nilda Hypolite",0,"Central",6,"Riesling","white",2.097,6.56,9,59.04,3.76,2011
"1368",2011-06-14,"Kym Velarde",0,"East",9,"Chardonnay","white",3.15,10.5,13,136.5,5.355,2011
"3049",2011-06-14,"Kym Velarde",0,"East",6,"Sauvignon Blanc","white",2.697,8.99,14,125.86,5.6175,2011
"7347",2011-06-14,"Eura Begay",0,"North",7,"Pinot Gris","white",3.741,13.42,9,120.78,6.14,2011
"7030",2011-06-14,"Yolando Galicia",0,"North",6,"Chardonnay","white",3.15,11.45,10,114.5,6.44,2011
"4288",2011-06-14,"Yolando Galicia",0,"North",7,"Merlot","red",2.229,8.38,18,150.84,5.26,2011
"1143",2011-06-15,"Nilda Hypolite",0,"Central",5,"Sauvignon Blanc","white",2.697,8.56,20,171.2,5.29,2011
"3920",2011-06-15,"Aiko Hamsher",0,"East",7,"Merlot","red",2.229,7.43,28,208.04,5.8065,2011
"702",2011-06-15,"Clement Arias",1,"North",7,"Chardonnay","white",3.15,11.45,15,171.75,6.01,2011
"580",2011-06-15,"Clement Arias",1,"North",5,"Pinot Gris","white",3.741,13.42,17,228.14,6.3,2011
